This is test output
file open
fashion : 2
drummed : 1
fingers : 14
steering : 2
wheel : 1
eyes : 104
fell : 46
huddle : 2
these : 32
weirdos : 2
quite : 36
close : 19
whispering : 4
excitedly : 6
together : 20
enraged : 1
see : 167
couple : 8
weren't : 26
why : 59
older : 5
than : 93
wearing : 18
an : 126
emerald-green : 3
cloak : 53
nerve : 5
struck : 5
probably : 10
silly : 3
stunt : 1
obviously : 12
collecting : 2
something.. : 1
yes : 33
moved : 22
few : 54
minutes : 26
later : 43
parking : 3
always : 41
office : 4
ninth : 1
floor : 46
might : 54
harder : 7
concentrate : 3
owls : 20
swoop : 1
ing : 4
broad : 2
daylight : 5
though : 81
down : 170
pointed : 21
gazed : 1
open- : 1
mouthed : 2
after : 67
sped : 8
overhead : 6
nighttime : 3
however : 19
owl-free : 1
yelled : 15
five : 30
different : 18
important : 14
telephone : 6
calls : 2
shouted : 29
bit : 66
more : 109
mood : 5
until : 45
lunchtime : 2
he'd : 138
stretch : 1
legs : 21
walk : 12
across : 37
buy : 12
bun : 2
from : 240
bakery : 1
forgotten : 16
passed : 24
group : 2
next : 94
baker's : 1
eyed : 3
angrily : 7
know : 167
uneasy : 2
bunch : 2
single : 9
tin : 1
way : 87
clutching : 7
doughnut : 1
bag : 10
caught : 39
words : 22
saying : 42
that's : 81
right : 97
i : 643
heard : 73
stopped : 29
dead : 21
flooded : 4
looked : 169
whisperers : 1
better : 39
dashed : 3
hurried : 14
snapped : 25
secretary : 1
not : 225
disturb : 2
seized : 13
almost : 47
finished : 12
dialing : 1
home : 15
changed : 11
receiver : 1
stroked : 3
thinking.. : 3
being : 38
unusual : 4
name : 34
sure : 41
lots : 8
come : 91
nephew : 2
harvey : 1
harold : 1
point : 13
worrying : 3
upset : 5
mention : 8
blame : 4
that.. : 2
same : 36
those : 24
cloaks.. : 1
afternoon : 13
building : 3
o'clock : 11
still : 92
worried : 10
walked : 46
straight : 25
someone : 30
door : 104
sorry," : 5
grunted : 7
tiny : 14
old : 56
stumbled : 4
seconds : 13
before : 101
realized : 17
violet : 3
seem : 16
knocked : 18
ground : 33
contrary : 2
face : 86
split : 6
wide : 12
smile : 13
squeaky : 1
voice : 58
passersby : 2
stare : 5
don't : 140
sorry : 18
my : 106
dear : 14
sir : 13
me : 169
today : 13
rejoice : 1
you-know-who : 13
has : 31
gone : 46
muggles : 16
yourself : 12
should : 42
celebrating : 5
happy : 12
day! : 2
hugged : 3
middle : 13
off : 195
stood : 37
rooted : 2
spot : 8
complete : 4
stranger : 7
muggle : 20
whatever : 9
rattled : 4
set : 25
imagining : 5
hoped : 4
approve : 1
imagination : 2
pulled : 51
driveway : 1
thing : 46
improve : 2
spotted : 11
sitting : 26
wall : 36
markings : 3
its : 85
shoo!" : 1
loudly : 18
move : 25
stern : 4
behavior : 1
wondered : 14
trying : 64
pull : 12
let : 62
determined : 3
wife : 3
nice : 23
told : 93
dinner : 8
door's : 1
problems : 4
daughter : 1
how : 132
learned : 10
word : 18
"won't!"). : 1
act : 1
normally : 3
bed : 38
went : 69
living : 10
room : 87
catch : 24
report : 4
evening : 13
news: : 1
finally : 23
bird-watchers : 1
everywhere : 6
reported : 1
nation's : 1
behaving : 3
unusually : 2
hunt : 1
night : 46
are : 151
ever : 57
hundreds : 11
sightings : 1
birds : 3
flying : 13
every : 54
direction : 13
since : 22
sunrise : 1
experts : 1
unable : 2
explain : 11
suddenly : 69
sleeping : 3
pattern. : 1
newscaster : 1
allowed : 18
grin : 6
jim : 1
mcguffin : 1
weather : 3
going : 130
showers : 1
tonight : 11
jim? : 1
well, : 37
ted, : 1
weatherman : 1
it's : 150
only : 109
acting : 3
oddly : 2
viewers : 1
far : 22
apart : 13
kent : 2
yorkshire : 2
dundee : 1
phoning : 1
tell : 69
instead : 15
rain : 4
promised : 3
yesterday : 7
they've : 7
downpour : 1
shooting : 6
stars : 7
perhaps : 18
bonfire : 1
early : 4
week : 22
folks : 1
can : 81
promise : 2
wet : 3
tonight. : 5
frozen : 2
armchair : 3
britain : 2
place : 28
whisper : 8
potters.. : 1
carrying : 9
two : 95
cups : 2
tea : 14
cleared : 6
throat : 5
nervously : 11
er : 17
petunia : 57
haven't : 21
your : 148
lately : 3
you? : 22
expected : 12
shocked : 7
angry : 12
no," : 8
sharply : 7
why?" : 5
stuff : 13
news, : 1
mumbled : 5
owls... : 1
stars.. : 1
funny-looking : 1
today... : 1
so?" : 2
thought.. : 1
maybe.. : 1
do : 156
with.. : 1
know.. : 4
crowd. : 1
sipped : 1
through : 125
pursed : 1
lips : 8
whether : 10
dared : 3
potter." : 1
decided : 11
dare : 12
casually : 4
dudley's : 23
age : 5
wouldn't : 48
he? : 6
suppose : 27
so, : 5
stiffly : 2
what's : 37
howard : 1
isn't : 21
it? : 24
harry. : 7
nasty : 13
common : 23
ask : 33
me. : 11
oh, : 47
yes, : 19
heart : 24
sinking : 2
horribly : 3
agree. : 1
subject : 3
upstairs : 13
while : 60
bathroom : 4
crept : 11
bedroom : 5
peered : 7
front : 51
staring : 23
waiting : 17
did.. : 1
related : 1
pair : 16
well : 62
asleep : 20
quickly : 44
lay : 17
awake : 7
turning : 16
comforting : 2
near : 16
kind... : 1
mixed : 4
yawned : 2
turned : 77
affect : 1
them... : 1
wrong : 15
drifting : 1
sleep : 17
showing : 7
sleepiness : 1
statue : 3
fixed : 6
unblinkingly : 2
quiver : 3
slammed : 7
nor : 6
swooped : 7
midnight : 11
appeared : 12
watching : 19
silently : 7
popped : 2
cat's : 1
tail : 13
twitched : 5
narrowed : 2
tall : 12
judging : 1
silver : 32
hair : 35
beard : 12
both : 29
long : 70
enough : 43
tuck : 1
belt : 1
robes : 26
purple : 12
swept : 2
high-heeled : 1
buckled : 1
boots : 5
blue : 11
bright : 17
sparkling : 4
behind : 79
half-moon : 2
spectacles : 2
nose : 29
crooked : 2
broken : 12
least : 9
man's : 3
albus : 10
dumbledore : 127
where : 97
unwelcome : 1
busy : 10
rummaging : 2
other : 89
end : 47
amuse : 2
chuckled : 7
muttered : 21
known. : 1
inside : 57
pocket : 16
cigarette : 1
lighter : 1
flicked : 3
open : 54
held : 22
air : 46
clicked : 7
nearest : 6
lamp : 15
pop : 5
flickered : 2
darkness : 7
twelve : 17
times : 16
put-outer : 3
lights : 5
whole : 33
pinpricks : 1
distance : 4
beady-eyed : 1
able : 26
pavement : 1
slipped : 10
moment : 42
spoke : 19
fancy : 1
seeing : 4
here : 88
professor : 175
mcgonagall. : 1
smiling : 20
rather : 22
severe-looking : 1
woman : 18
square : 2
glasses : 14
exactly : 20
shape : 3
emerald : 3
black : 47
drawn : 2
tight : 7
distinctly : 1
ruffled : 3
me? : 9
asked : 59
've : 2
sit : 12
stiffly. : 1
stiff : 2
brick : 3
day, : 2
mcgonagall : 91
dozen : 3
feasts : 2
parties : 2
here. : 7
sniffed : 4
oh : 16
everyone's : 4
right, : 11
impatiently : 3
they'd : 36
careful : 8
something's : 3
news. : 1
dursleys' : 8
dark : 59
living-room : 1
flocks : 1
owls.. : 1
stars... : 1
they're : 40
completely : 6
bound : 4
notice : 8
i'll : 44
bet : 15
dedalus : 4
diggle : 2
sense. : 1
can't : 55
them, : 3
gently : 6
we've : 40
precious : 2
celebrate : 2
eleven : 15
years. : 1
that, : 7
irritably : 3
lose : 13
heads : 18
downright : 2
careless : 2
streets : 2
swapping : 1
rumors. : 1
threw : 17
sharp : 11
sideways : 4
glance : 3
fine : 5
youknow-who : 1
seems : 8
disappeared : 17
us : 69
really : 66
dumbledore? : 4
certainly : 7
we : 151
thankful : 1
care : 7
lemon : 7
drop? : 1
what? : 12
drop : 6
kind : 9
sweet : 4
i'm : 119
fond : 2
no, : 21
you, : 17
coldly : 4
drops : 3
- : 34
surely : 3
sensible : 1
person : 8
call : 19
'you- : 1
know-who' : 1
persuade : 2
proper : 5
name: : 1
voldemort. : 1
flinched : 1
unsticking : 1
gets : 9
confusing : 2
keep : 56
'you-know-who.' : 1
frightened : 5
voldemort's : 7
haven : 1
't : 2
sounding : 7
exasperated : 1
admiring : 3
you're : 57
everyone : 53
knows : 21
you-know- : 2
voldemort : 27
of. : 1
flatter : 1
me, : 8
calmly : 3
powers : 3
will : 87
have. : 1
noble : 2
use : 25
them. : 9
lucky : 16
blushed : 2
madam : 36
pomfrey : 10
liked : 14
earmuffs. : 1
shot : 11
rumors : 2
he's : 75
him? : 5
reached : 37
anxious : 2
discuss : 1
real : 12
cold : 25
hard : 28
neither : 8
piercing : 4
plain : 3
everyone" : 1
believe : 22
true : 8
choosing : 2
answer : 20
saying, : 1
pressed : 7
is : 168
godric's : 1
hollow : 1
find : 54
rumor : 1
lily : 7
james : 4
 : 22
bowed : 9
gasped : 20
james.. : 1
it.. : 4
albus... : 1
patted : 2
shoulder : 15
know... : 3
heavily : 4
mcgonagall's : 6
trembled : 3
kill : 20
potter's : 7
power : 9
somehow : 12
broke : 11
nodded : 10
glumly : 1
true? : 3
faltered : 1
done.. : 1
killed.. : 1
astounding.. : 1
stop : 43
him.. : 4
heaven : 2
survive? : 1
guess, : 1
may : 10
know. : 7
lace : 1
handkerchief : 5
dabbed : 1
beneath : 6
great : 71
sniff : 2
took : 63
golden : 9
watch : 17
examined : 3
odd : 11
hands : 32
numbers : 2
planets : 5
moving : 6
sense : 3
hagrid's : 34
late : 13
i'd : 30
way? : 2
yes," : 9
places? : 1
i've : 75
bring : 5
aunt : 65
uncle : 121
family : 21
now. : 9
mean : 29
live : 12
here? : 5
cried : 11
jumping : 3
feet : 50
pointing : 18
less : 10
kicking : 1
mother : 27
sweets : 7
here! : 6
best : 31
him, : 9
firmly : 3
written : 11
letter. : 2
letter? : 2
repeated : 6
faintly : 2
really, : 2
letter : 40
understand : 15
he'll : 17
famous : 22
legend : 1
surprised : 7
known : 10
future : 1
books : 41
world : 22
name! : 6
exactly," : 1
seriously : 2
top : 33
turn : 19
boy's : 2
talk : 19
won't : 24
remember : 35
cara : 2
growing : 1
ready : 12
take : 63
opened : 19
mouth : 21
swallowed : 8
course : 42
getting : 32
hiding : 6
underneath : 11
bringing : 5
him. : 7
wise : 3
trust : 7
hagrid : 309
this? : 2
life, : 2
place, : 1
grudgingly : 1
pretend : 4
does : 20
tend : 1
that? : 6
low : 14
rumbling : 3
sound : 18
silence : 14
grew : 5
steadily : 1
louder : 1
headlight : 1
swelled : 2
roar : 3
huge : 20
motorcycle : 6
landed : 11
astride : 1
simply : 8
wild : 12
tangles : 1
bushy : 3
hid : 2
size : 10
trash : 5
lids : 1
leather : 3
baby : 9
dolphins : 1
vast : 3
muscular : 1
arms : 23
holding : 26
bundle : 5
blankets : 6
hagrid," : 5
relieved : 6
motorcycle? : 1
borrowed : 3
sit, : 4
giant : 24
climbing : 3
carefully : 13
sirius : 2
lent : 3
sir. : 5
there? : 9
destroyed : 2
started : 48
swarmin' : 1
flyin' : 1
bristol. : 1
bent : 14
forward : 33
visible : 2
fast : 20
under : 39
tuft : 1
jet-black : 1
forehead : 12
curiously : 5
shaped : 3
cut : 8
bolt : 4
lightning : 5
-? : 1
whispered : 35
scar : 14
forever. : 2
scars : 2
handy : 1
myself : 9
above : 16
knee : 4
perfect : 6
london : 11
underground : 7
give : 33
we'd : 13
with. : 1
sir? : 2
shaggy : 2
scratchy : 1
whiskery : 1
howl : 1
wounded : 1
dog : 22
shhh!" : 1
hissed : 7
you'll : 34
wake : 9
muggles! : 1
s-s-sorry," : 1
sobbed : 4
taking : 19
burying : 1
c-c-can't : 1
stand : 19
an' : 92
poor : 8
ter : 77
sad : 3
grip : 3
we'll : 29
found, : 1
patting : 3
gingerly : 1
arm : 17
stepped : 18
laid : 3
doorstep : 2
tucked : 3
harry's : 112
full : 35
minute : 10
three : 64
shoulders : 7
shook : 18
furiously : 11
twinkling : 2
usually : 11
shone : 4
dumbledore's : 16
well," : 1
business : 7
staying : 4
go : 117
join : 6
celebrations. : 1
yeah," : 5
muffled : 3
takin' : 4
bike : 5
g'night : 1
wiping : 5
streaming : 2
jacket : 3
sleeve : 4
swung : 14
onto : 38
kicked : 7
engine : 3
life : 34
rose : 11
shall : 7
mcgonagall, : 2
nodding : 4
blew : 6
reply : 1
once : 66
balls : 10
lamps : 1
glowed : 2
orange : 4
make : 53
slinking : 1
step : 12
luck : 10
harry, : 10
murmured : 7
heel : 2
swish : 3
breeze : 2
neat : 5
hedges : 1
silent : 9
tidy : 2
inky : 1
astonishing : 3
happen : 9
rolled : 11
without : 41
waking : 1
hand : 65
closed : 5
beside : 4
slept : 3
knowing : 10
special : 6
woken : 4
hours' : 1
scream : 3
milk : 1
bottles : 6
spend : 2
weeks : 8
prodded : 2
pinched : 1
cousin : 3
dudley.. : 1
meeting : 5
hushed : 2
voices: : 1
lived! : 1
vanishing : 2
glass : 20
ten : 29
sun : 5
gardens : 1
lit : 8
brass : 5
fateful : 1
news : 6
photographs : 5
mantelpiece : 1
showed : 16
ago : 10
pictures : 1
pink : 13
beach : 1
ball : 12
different-colored : 1
bonnets : 1
longer : 3
blond : 3
riding : 1
bicycle : 1
carousel : 1
fair : 4
playing : 12
computer : 5
game : 18
father : 28
kissed : 2
yet : 34
shrill : 1
noise : 22
up! : 3
now! : 2
start : 15
rapped : 2
up!" : 1
screeched : 2
walking : 14
kitchen : 14
frying : 2
pan : 1
stove : 1
dream : 9
feeling : 25
yet? : 4
demanded : 3
nearly," : 1
bacon : 7
burn : 1
duddy's : 1
birthday. : 1
groaned : 5
say? : 2
nothing, : 4
nothing... : 1
birthday : 13
slowly : 19
socks : 3
pulling : 10
spider : 1
used : 16
spiders : 2
cupboard : 21
stairs : 10
hall : 49
table : 44
hidden : 10
presents : 9
gotten : 20
television : 10
racing : 11
mystery : 1
fat : 21
hated : 9
exercise : 2
unless : 10
punching : 3
favorite : 6
often : 8
skinny : 2
smaller : 3
skinnier : 1
wear : 3
bigger : 3
knobbly : 3
knees : 12
green : 27
wore : 5
round : 23
scotch : 1
tape : 4
punched : 1
own : 30
appearance : 2
question : 10
asking : 8
crash : 8
parents : 19
died, : 1
questions. : 1
questions : 11
rule : 6
quiet : 12
vernon : 99
entered : 7
comb : 1
hair! : 1
barked : 5
greeting : 1
newspaper : 7
needed : 8
haircut : 2
haircuts : 1
rest : 24
boys : 13
class : 22
difference : 5
eggs : 5
watery : 1
thick : 14
smoothly : 2
angel : 1
pig : 7
wig : 2
plates : 6
egg : 10
difficult : 10
meanwhile : 5
counting : 3
thirty-six," : 1
year. : 2
darling, : 1
counted : 4
auntie : 2
marge's : 2
present : 3
mommy : 2
daddy. : 1
thirty-seven : 1
then, : 4
red : 26
coming : 31
began : 23
wolfing : 1
case : 11
scented : 1
danger : 4
we're : 35
how's : 3
popkin : 1
right'' : 1
thirty : 4
.. : 5
thirty... : 1
thirty-nine, : 1
sweetums, : 1
oh." : 1
grabbed : 12
parcel : 9
then. : 5
tyke : 1
wants : 7
money's : 1
worth : 8
'atta : 1
dudley! : 2
rang : 6
unwrap : 4
video : 3
camera : 3
remote : 2
control : 6
airplane : 2
sixteen : 3
games : 2
vcr : 2
ripping : 2
paper : 13
gold : 28
wristwatch : 1
bad : 27
vernon, : 1
mrs. : 2
figg's : 3
leg : 13
horror : 10
leap : 3
year : 25
friend : 11
adventure : 5
parks : 1
hamburger : 4
restaurants : 2
movies : 1
figg : 5
mad : 10
lady : 9
smelled : 4
cabbage : 1
she'd : 12
owned : 4
planned : 1
ought : 4
feel : 20
easy : 11
reminded : 10
tibbles : 1
snowy : 5
paws : 2
tufty : 1
phone : 1
marge, : 1
suggested : 8
hates : 2
boy. : 2
slug : 2
what's-her-name : 1
yvonne? : 1
vacation : 2
majorca, : 1
leave : 19
here, : 4
hopefully : 2
change : 8
maybe : 18
computer) : 1
ruins? : 1
snarled : 8
blow : 3
house, : 2
listening : 11
zoo, : 1
... : 5
car.... : 1
car's : 1
alone.... : 1
cry : 8
crying : 8
screwed : 2
wailed : 3
dinky : 1
duddydums : 1
mummy : 1
spoil : 2
flinging : 1
i... : 1
don't.. : 1
want.. : 2
t-t-to : 2
come! : 1
between : 22
sobs : 1
sp- : 1
spoils : 1
everything! : 1
gap : 2
mother's : 5
doorbell : 1
lord : 3
frantically : 4
piers : 15
polkiss : 2
scrawny : 2
rat : 5
people's : 5
backs : 3
hit : 13
pretending : 5
hour : 13
zoo : 6
taken : 27
aside : 4
warning : 7
putting : 5
christmas. : 1
anything, : 1
honestly.. : 1
problem : 3
happened : 28
telling : 17
tired : 6
barbers : 1
scissors : 1
short : 5
bald : 5
bangs : 2
hide : 6
horrible : 21
scar. : 2
laughed : 9
sleepless : 1
school : 59
already : 41
baggy : 2
taped : 2
sheared : 1
given : 19
grown : 3
force : 8
revolting : 2
sweater : 8
brown : 8
puff : 1
become : 7
fitted : 4
puppet : 1
fit : 3
shrunk : 1
wash : 2
relief : 9
punished : 4
terrible : 15
trouble : 22
roof : 4
kitchens : 3
gang : 5
chasing : 3
surprise : 10
else's : 2
chimney : 2
received : 4
headmistress : 2
buildings : 1
locked : 9
jump : 8
cans : 1
doors : 15
wind : 9
mid- : 1
spending : 1
somewhere : 18
cabbage-smelling : 1
complained : 5
complain : 5
things: : 1
council : 1
bank : 3
subjects : 2
motorcycles : 2
roaring : 3
along : 31
maniacs : 1
hoodlums, : 1
overtook : 1
motorcycle, : 1
remembering : 2
flying. : 1
crashed : 4
seat : 17
gigantic : 3
beet : 1
mustache: : 1
fly! : 1
sniggered : 2
don't, : 2
dream. : 1
wished : 8
talking : 28
shouldn't : 10
matter : 11
cartoon : 1
dangerous : 9
ideas : 3
sunny : 2
saturday : 5
crowded : 4
families : 11
bought : 10
chocolate : 16
ice : 8
creams : 2
entrance : 10
van : 1
hurry : 12
cheap : 1
either : 22
licking : 3
gorilla : 1
scratching : 3
remarkably : 1
starting : 10
bored : 3
animals : 3
fall : 11
hobby : 1
hitting : 3
ate : 4
restaurant : 1
knickerbocker : 1
glory : 2
cream : 3
finish : 4
felt : 49
afterward : 2
lunch : 3
reptile : 3
cool : 3
windows : 10
sorts : 4
lizards : 1
snakes : 1
crawling : 2
slithering : 5
bits : 5
wood : 51
poisonous : 2
cobras : 1
man-crushing : 1
pythons : 1
largest : 1
snake : 18
wrapped : 7
body : 12
vernon's : 11
crushed : 1
against : 34
glistening : 1
coils : 1
move, : 1
whined : 1
tapped : 5
budge : 4
again, : 4
ordered : 3
smartly : 1
knuckles : 2
snoozed : 1
boring, : 1
moaned : 6
shuffled : 4
tank : 3
intently : 1
died : 14
boredom : 1
itself : 5
company : 2
drumming : 1
worse : 13
visitor : 1
hammering : 2
visit : 7
beady : 1
raised : 19
level : 2
winked : 5
ceiling : 20
plainly: : 1
know, : 5
hear : 32
annoying. : 1
vigorously : 2
anyway? : 6
jabbed : 2
boa : 5
constrictor : 4
brazil : 1
on: : 1
specimen : 1
bred : 1
you've : 32
brazil? : 1
deafening : 3
shout : 4
doing! : 1
waddling : 1
ribs : 3
concrete : 1
leaning : 5
leapt : 14
howls : 2
constrictor's : 1
vanished : 6
uncoiling : 1
rapidly : 1
throughout : 1
screamed : 13
running : 13
exits : 1
slid : 9
swiftly : 3
sworn : 2
hissing : 4
brazil, : 1
come... : 1
thanksss : 1
amigo. : 1
keeper : 9
shock : 11
glass, : 1
kept : 38
go? : 2
cup : 20
strong : 3
apologized : 1
gibber : 1
done : 38
snap : 2
playfully : 1
heels : 1
bitten : 3
swearing : 1
squeeze : 1
death : 9
worst : 5
calming : 1
harry? : 9
waited : 7
safely : 7
speak : 20
managed : 20
stay : 24
meals, : 1
collapsed : 5
run : 16
brandy : 4
wishing : 4
risk : 3
sneaking : 4
food : 10
miserable : 2
sometimes : 6
strained : 3
memory : 2
during : 10
hours : 7
vision: : 1
blinding : 3
flash : 7
burn- : 1
pain : 17
imagine : 6
forbidden : 8
younger : 4
dreamed : 4
unknown : 2
relation : 1
strangers : 2
hat : 39
shopping : 2
rushed : 8
shop : 15
buying : 3
wild-looking : 1
waved : 10
merrily : 4
bus : 1
coat : 10
actually : 2
shaken : 3
weirdest : 1
vanish : 2
closer : 11
everybody : 6
nobody : 11
disagree : 1
letters : 21
escape : 3
brazilian : 1
earned : 1
longest-ever : 1
punishment : 2
summer : 6
holidays : 9
crossed : 7
crutches : 1
glad : 11
escaping : 2
visited : 3
dennis : 1
malcolm : 1
gordon : 1
biggest : 3
stupidest : 1
leader : 1
sport: : 1
hunting : 1
wandering : 9
ray : 2
hope : 21
september : 4
secondary : 1
accepted : 2
private : 2
smeltings : 2
stonewall : 3
local : 1
public : 2
toilet : 7
stonewall, : 1
practice? : 1
thanks, : 4
toilet's : 1
sick. : 2
ran : 19
july : 3
uniform : 5
leaving : 12
wasn : 1
tripping : 1
cake : 7
tasted : 2
paraded : 1
brand-new : 1
smeltings' : 1
maroon : 1
tailcoats : 1
knickerbockers : 2
flat : 10
straw : 1
hats : 3
boaters : 1
carried : 10
sticks : 5
each : 34
teachers : 13
training : 5
gruffly : 3
proudest : 1
burst : 11
tears : 7
ickle : 5
dudleykins : 1
handsome : 2
grown-up : 1
cracked : 2
laugh : 6
smell : 12
breakfast : 10
metal : 3
tub : 2
sink : 2
dirty : 4
rags : 1
swimming : 2
water : 9
tightened : 2
uniform, : 2
bowl : 4
oh," : 2
wet. : 1
dota : 1
stupid, : 3
dyeing : 1
it'll : 7
finished. : 1
doubted : 1
argue : 4
elephant : 1
skin : 5
wrinkled : 2
noses : 7
banged : 2
smelting : 7
stick : 10
click : 1
mail : 14
slot : 3
flop : 1
doormat : 2
dudley, : 1
it. : 17
poke : 1
dudley. : 3
dodged : 4
doormat: : 1
postcard : 3
marge : 1
vacationing : 1
isle : 1
wight : 1
envelope : 9
bill : 6
twanging : 1
elastic : 1
band : 1
friends : 14
relatives : 1
belong : 3
library : 21
rude : 4
notes : 7
addressed : 4
plainly : 1
mistake: : 1
h : 6
4 : 3
whinging : 1
surrey : 1
heavy : 12
yellowish : 3
parchment : 9
address : 2
ink : 4
stamp : 4
trembling : 8
wax : 1
seal : 1
bearing : 1
lion : 3
eagle : 3
badger : 1
surrounding : 2
boy! : 4
doing : 28
checking : 3
bombs? : 1
joke : 6
handed : 7
yellow : 4
ripped : 4
snorted : 2
disgust : 2
flipped : 2
ill, : 3
informed : 2
whelk : 1
--. : 1
dad!" : 1
dad, : 3
something! : 1
unfolding : 2
mine! : 1
snatch : 1
who'd : 6
writing : 4
sneered : 2
shaking : 13
glancing : 4
faster : 5
within : 3
grayish : 1
white : 31
porridge : 2
p-p-petunia!" : 1
grab : 6
reach : 2
line : 11
faint : 5
clutched : 4
choking : 2
vernon! : 2
goodness : 3
seeming : 1
ignored : 7
tap : 6
letter, : 1
it, : 21
mine. : 1
croaked : 3
stuffing : 2
letter! : 1
it! : 9
out!" : 1
roared : 4
scruffs : 1
necks : 4
slamming : 2
promptly : 1
furious : 8
fight : 8
listen : 13
keyhole : 3
won : 16
dangling : 3
ear : 10
stomach : 6
crack : 6
vernon," : 1
quivering : 4
possibly : 5
sleeps : 1
house? : 1
following : 8
us, : 4
wildly : 4
write : 2
shiny : 4
shoes : 2
pacing : 1
ignore : 3
answer.. : 1
best.. : 1
anything... : 1
swear : 1
nonsense? : 1
where's : 7
squeezed : 4
who's : 10
mistake, : 2
shortly : 4
burned : 2
silence!" : 1
deep : 15
breaths : 1
forced : 5
painful : 3
questions! : 1
bedrooms: : 1
visitors : 1
marge) : 1
toys : 2
trip : 4
month-old : 1
lying : 12
working : 9
neighbor's : 1
first-ever : 1
foot : 11
program : 1
canceled : 1
birdcage : 1
parrot : 1
swapped : 2
rifle : 2
shelf : 3
shelves : 6
touched : 7
downstairs : 4
bawling : 1
there.. : 1
need : 26
room.. : 1
out.... : 1
sighed : 8
stretched : 6
whacked : 1
sick : 5
purpose : 5
thrown : 6
tortoise : 1
greenhouse : 1
bitterly : 3
darkly : 6
banging : 2
there's : 41
'mr : 1
smallest : 4
--' : 1
strangled : 1
wrestle : 1
confused : 4
fighting : 6
straightened : 2
gasping : 2
breath : 15
bedroom, : 1
wheezed : 1
go. : 7
meant : 8
try : 40
fail : 2
plan : 4
repaired : 1
alarm : 2
clock : 4
six : 12
mustn't : 3
stole : 3
wait : 19
postman : 1
hammered : 1
trodden : 2
squashy : 4
